municipio,fecha,luces_nocturnas,densid_vial,imae,interaccion_causal,area_km2,imae_primario,imae_secundario,imae_terciario,poblacion_estimada,categoria
Municipio Yalagüina,2025-08-01,0.467042297124863,0.9063200505754851,188.271631877916,170.63435492552196,71.40755290770491,225.24281768917,180.24920118203133,176.14003879722756,13360.908203125,Estrato Alto
Municipio Yalagüina,2025-09-01,0.190572381019592,0.9063200505754851,189.33945459644,171.6021440657803,71.40755290770491,224.2937234336136,181.03369887322103,176.78801771962517,13360.908203125,Estrato Alto
Municipio Yalagüina,2025-10-01,0.219350054860115,0.9063200505754851,190.587036471036,172.73285253346117,71.40755290770491,223.6178563852114,181.4047943107593,177.54853214960443,13360.908203125,Estrato Alto
Municipio Yalagüina,2025-11-01,0.20434395968914,0.9063200505754851,191.80376595096,173.8355988572426,71.40755290770491,223.6892562344888,181.15525389594063,178.29491729879666,13360.908203125,Estrato Alto
Municipio Yalagüina,2025-12-01,0.138970777392387,0.9063200505754851,192.793828104965,174.73291203873328,71.40755290770491,224.5419510950684,180.4931029035903,178.93049264146683,13360.908203125,Estrato Alto
Municipio de Jinotega,2020-01-01,0.102941855788231,1.1727729465782883,151.691034975859,177.89914205814836,882.5214718477508,195.63963679985775,146.33243947481455,146.4229487834796,139515.234375,Estrato Medio
Municipio de Jinotega,2020-02-01,0.137710899114609,1.1727729465782883,151.286083647823,177.42422609594678,882.5214718477508,191.0893549721048,143.95693947267122,146.26311473770102,139515.234375,Estrato Medio
Municipio de Jinotega,2020-03-01,0.135264053940773,1.1727729465782883,150.490161146707,176.49078971906502,882.5214718477508,186.160876176909,141.24372114909187,146.0915987465235,139515.234375,Estrato Medio
Municipio de Jinotega,2020-04-01,0.166492491960526,1.1727729465782883,149.500244882531,175.32984270506157,882.5214718477508,182.9638630805388,138.46421287184566,136.454882796999,139515.234375,Estrato Medio
Municipio de Jinotega,2020-05-01,0.157269135117531,1.1727729465782883,148.643879420633,174.32552045896355,882.5214718477508,182.5458467994188,136.14138668998342,136.2498285458466,139515.234375,Estrato Medio
Municipio de Jinotega,2020-06-01,0.141969561576843,1.1727729465782883,148.213417443265,173.82068629737577,882.5214718477508,184.4889671310802,134.59608618198044,136.2879004351725,139515.234375,Estrato Medio
